name,ratings,date,helpful,comment,developer_comment
이이기행,5,2020-06-15,1,결제 금액도 저렴하고 상당히 청소를 잘 해주시다보니까 저도 주변에 입소문 내게 된 앱이에요 . 미소 쓰고선 청소로 부터 해방 되었고요 주말에 시간 많이 생겼습니다 . 아무래도 맞벌이에다가 아이가 있다보니까 . 집안이 항상 더럽거나 정리가 안되어있었거든요 무튼 이용하고선 집안이 180 도로 달라지고 금액도 저렴하니까 금액적으로도 부담이 덜가더라고요,
김지아,1,2020-06-13,3,예약을 사전에했고 예약이 많은주라 추가금도 있다고해서 추가금도냈는데 하루전 오후5시 넘어서 클리너 배정이 안되었다는 알림과 설문을 해달라하네요. 날은 더워지고 개인업체에 더 알아보지도 않았는데 이런식으로 취소하거나 울며겨자먹기로 다른날에 서비스받게하는게 미소에서 추구하는건가요..클리너 배정량이 정해져있으면 예약을 더 받지말았어야죠. 이럴꺼면 예약은 왜하라하는거죠? 별 하나도 아깝네요. 그리고 1대1 실시간채팅창 30분넘게 기다려서 답변받아야되고 사무적인답변..챗봇이랑 대화하는 기분이였습니다.,"Miso, Inc.2020년 6월 15일안녕아세요. 김지아 고객님. 미소 서비스 이용에 불편을 드려서 죄송합니다. 날은 점점 더워지는데 실시간 문의도 지연이 되어 더욱 답답하셨을 고객님을 생각 하니 마음이 무겁습니다. 모든 고객님께서 저희 서비스에 만족하실 수 있도록 서비스 품질에 심혈을 기울이고 있습니다. 미소는 고객님께서 원하시는 시간에 서비스를 제공해드려야하지만, 성수기 주문 폭주로 인해 우수한 파트너님 배정이 어려운 경우가 있습니다. 양질의 서비스를 제공하기 위해 우수한 파트너님 모집에 항상 신경쓰고 있사오니, 이 점 양해 부탁 드립니다. 고객님의 불편에 다시 한 번 사과드리며, 개선된 서비스로 고객님을 찾아뵐 수 있도록 노력하겠습니다. 감사합니다."
Jinguk Do,1,2020-06-10,13,"벽걸이에어컨 조금전 청소받았는데, 주변가구 보양을 위한 비닐과 걸레도 하나 안 가져오고, 약제 뿌린후 세정 작업까지 20분하고 끝이네요. 방바닥과 거실에 물이 흥건한데 걸레를 안 가져왔으니 당연히 그냥 가셨네요. 제가 닦았습니다. 문제는 가고나서 벽지를 따라 물이 흘러 내리고 있네요. 벽지에 자국이 남을까 걱정됩니다. 6만원이 상당히 아깝게 느껴지는 서비스였습니다. 미소를 통해 랜덤하게 기사를 배정 받는거 보다, 비용을 더 주더라도 미소 통하지 않고 검증된 업체에 서비스 받는게 좋겠습니다. 참, 완전분해 청소가 아니였습니다. 저는 송풍팬까지 분해하는지 알았는데 붙여진 상태로 청소입니다.",
윤상혁,1,2020-06-02,20,쓰레기같은 앱이에요. 예약 변경 취소가 실시간 채팅으로밖에 안되는데 답변 최소 30분 이상 기다리셔야됩니다. 30분만에 뭘도와드릴까요 하나듣고 다음답변은 또 언제올지 모르겠네요. 예약변경하려다가 빡쳐서 취소했구요 청소해주시는분들이나 상담원들이 잘못했다기보다는 앱 시스템 자체가 쓰레기인거 같아요.,"Miso, Inc.2020년 6월 3일안녕하세요, 윤상혁 고객님. 미소 서비스 이용에 불편을 드려서 진심으로 죄송합니다. 바쁘신 고객님께서 시간을 내어 저희에게 문의 주셨을텐데, 성수기로 인해 실시간 문의도 지연이 되어 더욱 답답하셨을 고객님을 생각 하니 마음이 무겁습니다.  다시 한 번 사과드리며, 더욱 개선된 모습 보여드릴 수 있도록 오늘도 최선을 다하겠습니다.  추후에 청소 서비스가 다시 필요하시면 찾아 주세요. 피드백 감사합니다."
박완호,5,2020-06-12,1,"6 살 큰애 , 4 살 배기 둘째 키우니까 청소 할 시간 엄두가 거의 안났거든요 ㅜㅜ. 거기다가 소소하게 소일거리도 하다보니까 . 청소 할 겨를이 전혀 없었네요 ㅠ 그래서 저도 소문듣고선 이용하게 된건데요 . 시간적인 부분에 있어서도 여유가 생기고 . 청소도 워낙 깨긋 히 해주시니까 집이 깨끗해지니까 마음도 편안해지고 . 좀 기분이 좋다라고 해야 하나 ?? 예전엔 이런게 사치스럽게 느껴졌는데 막상 가격 그리고 서비스 보니까 그런 선입견들이 깨지더라고요","Miso, Inc.2020년 6월 16일안녕하세요, 박완호 고객님. 미소 서비스를 이용해 주셔서 감사합니다. 고객님께서 미소의 서비스에 만족하신다고 하시니, 저희는 더욱 좋은 모습을 보이고 싶은 마음뿐입니다. 더욱이 바쁘신 고객님의 일을 덜어드릴 수 있어서, 저희는 오늘도 기쁘게 일하고 있습니다. 미소는 합리적인 가격으로 양질의 서비스를 제공하여, 우리 모두의 일상이 행복해 지도록 노력하고 있습니다. 앞으로도 번거로운 청소일은 미소에 맡기시고, 여가와 행복을 즐기면서 미소 지으시는 일만 가득하길 바랍니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요. :) 감사합니다 ^_^"
조현수,5,2020-06-12,4,청소 업체중에서 미소가 가장 깔끔하고 좋네요 . 이모님이 스케줄 에 맞춰서 딱 와주시고 마무리 까지 엄청 깔끔 하게 잘 해주셨네요 요번주 토요일에 부모님이 저희집에 내려오시는데 저희 둘다 맞벌이이고 . 퇴근을 저녁 9~10 시에 하니까 청소 할 겨를 이 없었거든요 . 제가 미소 신청하고선 잠깐 집에 있다가 청소 요청 드리고 잠깐 볼일 보고 다시 시간 다될쯤 집에 들어가니까 집안이 완전 달라졌더라고요 ㅎ 깔끔하게 청소 서비스 이용받고 싶다면 미소 추천 드립니다,"Miso, Inc.2020년 6월 16일안녕하세요, 조현수 고객님. 가장 깔끔한 서비스, 미소 입니다. :) 미소를 이용해 주셔서 감사합니다. 깨끗하게 청소된 집에 돌아 오면 편안하지요 ^^ 맞벌이로 바쁘실 고객님께 조금이나마 여유를 드릴 수 있어서, 미소는 오늘도 보람을 느끼고 있습니다. 저희 미소 생활청소는 시간제 서비스로, 효율적인 청소 시간 관리와 고객 만족을 위해서 서비스 품질도, 클리너님들도 항상 최선을 다해 노력하고 있습니다. 오늘 받은 고객님의 칭찬에 만족하지 않고 앞으로도 최선을 다하는 미소가 되도록 하겠습니다. 코로나 19가 유행인 가운데, 건강에 유의하시기 바랍니다. 오늘도 좋은 하루 보내세요 . 감사합니다 :)"
R러스트,1,2020-06-12,1,최악의 서비스 연결앱. 예약이 많다고 추가요금 이야기 하고 1:1 문의로 된다고 하다 전날에 날짜 변경 요구함. 선택지에 분명 날짜 지정할수 있는데도 지들 멋대로 변경 요청하고 콜센터에선 당일까지 서비스 가능한 분을 알아보겠다는 말도 안되는 소리를 하다 되냐 안되냐 한참 물어야 힘들지도 모른다 같은 소리를 함. 써본 서비스 연결 앱중 신뢰도 최악임,"Miso, Inc.2020년 6월 12일안녕하세요, R러스트 고객님. 미소 서비스 이용에 불편을 드려서 죄송합니다. 모든 고객님께서 저희 서비스에 만족하실 수 있도록 파트너님들도, 서비스 품질도 항상 심혈을 기울이고 있습니다. 미소는 고객님께서 원하시는 시간에  서비스를 제공해드려야 하지만, 최근, 성수기 주문 폭주로 인해 우수한 파트너님 배정이 어려운 경우가 있습니다. 양질의 서비스를 제공하여 고객님의 만족을 위해 우수한 파트너님 모집에 항상 신경쓰고 있사오니, 이 점 양해 부탁 드립니다. 고객님의 불편에 다시 한 번 사과드리며, 더욱 개선된 서비스로 고객님을 찾아뵐 수 있도록 노력하겠습니다. 피드백 감사합니다."
안이슬,5,2020-06-12,2,청소 업체 중 에선 미소가 가장 나아요 저도 원래 쓰던 업체 있었지만 이곳은 청소도 좀 별로이고 카드결제가 아닌 온니 현금 결제였거든요 . 여긴 카드 1 번 등록 해놓으면 청소 할때마다 알아서 결제 되니까 그게 참 편하더라고요 . 또 스케줄 잡기도 편하고요 . 요즘은 이런 생활 밀착 어플 이용하면 좋은게 삶에 질이 달라지네요 ^^ 매일 주말에 쓸고 닦고 ㅠ 청소 하고 정말 쉬는게 쉬는게 아니였는데 이거 알고나서부턴 주말마다 쉬고 있고 놀러도 나가고 그러네요,"Miso, Inc.2020년 6월 16일안녕하세요, 안이슬 고객님. 미소를 이용해 주셔서 감사합니다. 미소는 고객님의 생활을 더 편하고 쉽게 만들기 위해서 오늘도 노력하고 있는데, 고객님의 삶의 질이 달라지셨다고 하시니 저희는 오늘도 기쁘게 일하고 있습니다. 고객님의 편리한 이용을 위해서 카드 결제 (카드는 한번만 등록하시면 되시며, 나이스 페이에 의해 안전하게 관리되고 있습니다.) 및 가상 계좌 입금, 모두 가능 하도록 하고 있습니다. 나중에 청소가 다시 필요하시면 미소를 찾아주세요. ^_^  코로나 19가 유행인 가운데, 건강에 유의하시기 바랍니다. 오늘도 좋은 하루 보내세요 :) 감사합니다 ^_^"
김영광,5,2020-06-10,5,깔끔한 청소 해주셔서 감사합니다 . 이렇게 실생활에서 도움을 주는 앱은 이게 처음이에요 처음 이용했을땐 청소 서비스 받는거 자체가 저한테는 좀 사치 스러워서 부담스럽고 선입견이 있었는데요 직접 사용해보니까 그런 마음 싹 사라지네요 가격대시 제대로 청소를 해주시다보니까 금액적인 부분도 만족 스럽고 집안도 완전 깨긋하게 변했습니다 . 시간 많이 촉박하시거나 청소에 소질이 없으시면 미소 서비스 강력 추천 드리고 싶네요 ^^ 좋은 업체입니다,"Miso, Inc.2020년 6월 12일안녕하세요, 김영광 고객님. 실생활에 도움되는 어플, 미소 입니다. :) 미소를 이용해 주셔서 감사합니다. 깨끗하게 청소된 집에 들어서면 기분이 상쾌하지요. 미소 서비스를 통해 고객님의 일상이 조금이나마 여유로워지셨기를 바랍니다. 고객님의 기대에 부응할 수 있도록, 저희는 오늘도 최선을 다하고 있습니다. 앞으로도 번거로운 청소일은 미소에 맡기시고, 여가와 행복을 즐기면서 미소 지으시는 일만 가득하길 바랍니다. 추후 청소 서비스가 다시 필요하시면 미소를 기억해 주세요 ^^ 코로나 19가 유행인 가운데, 건강에 유의하시기 바라며, 오늘도 좋은 하루 보내세요. 감사합니다. :)"
수빈,4,2020-06-12,4,"처음 써보았습니다! 깨끗해진 게 눈이 보이긴 한데 안 하신 곳도 눈에 보여요 ㅠㅠ 사물함 위, 세탁실, 설거지 후 뒷정리가 안 되어 있네용.... 세탁실은 문의드렸더니 청소 범위라고 해서 하시는 줄 알았는데 ㅜㅜ 그래도 고생하셔서 별 4개는 드립니다 :)",
